Claim,Source Name,Source URL,Verdict,Review Publication Date,Image URL,Tags
Oposição conseguem 41 assinaturas de senadores para pedir impeachment de Alexandre de Moraes,Estadão,https://www.estadao.com.br/estadao-verifica/senadores-oposicao-41-assinaturas-impeachment-moraes-fora-de-contexto/,Fora de contexto,,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTSToy3ZakcQY5amgMYfn_cPOBwR5Tpc7qmtaJ5veHMI0Carwem,"['Alexandre de Moraes', 'Impeachment', 'Senador', 'Oposição']"
Projeto em discussão no Senado prevê sete anos de reclusão para quem duvidar do sistema eleitoral.,Estadão,https://www.estadao.com.br/estadao-verifica/quem-duvidar-das-urnas-7-anos-de-prisao-enganoso/,Enganoso,2025-06-12 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcT08coUN0dMUjm4Gqhmbf-eGskOeDMNAVusOY8P0KIsxs_fucxo,"['Eleição', 'Sistema eleitoral do Brasil', 'Senado Federal do Brasil', 'Reclusão', 'Projeto', 'discussão']"
"AGORA - Bolsonaro critica projeto que já passou no Senado e está na Câmara, que prevê 7 anos de prisão para quem duvidar do sistema eleitoral",UOL Notícias,https://noticias.uol.com.br/comprova/ultimas-noticias/2025/07/02/senado-quer-punir-mentira-eleitorais-nao-criticas-ao-sistema-de-votacao.htm,Falso,2025-07-02 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQe5s2v_b06i_8yrBplmrprKJfu8pYSANejb1-p0_cHOc8Je3fG,"['Eleição', 'Senado Federal do Brasil', 'Jair Bolsonaro', 'Sistema eleitoral do Brasil', 'Projeto', 'Câmara dos Deputados, Brasil', 'Prisão', 'Crítica']"
Senado aprova PEC que permite que o congresso revogue as ações do STF,AFP Checamos,https://checamos.afp.com/doc.afp.com.36X7767,Falso,2025-02-05 08:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQPbJa-A449GQzqiT_SL9bgXr34oZeSQD0iuTyHnPKASPyUFc6L,"['Congresso Nacional', 'Emenda constitucional', 'Senado Federal do Brasil', 'Supremo Tribunal Federal', 'Ação']"
Alexandre de Moraes fugiu correndo de pessoas que entraram no prédio do STF,Aos Fatos,https://www.aosfatos.org/noticias/falso-video-alexandre-de-moraes-correndo-senado/,falso,2024-04-19 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcR61AB1I9mLkGm9i-L-sr4ljXElhOSIO2mYw1FVpp5rxu68gdtM,"['Alexandre de Moraes', 'Supremo Tribunal Federal', 'Palácio do Supremo Tribunal Federal', 'Edifício']"
Foi aprovado o impeachment do Xandão (Alexandre de Moraes),Estadão,https://www.estadao.com.br/estadao-verifica/senado-impeachment-alexandre-de-moraes-fake-news/,Enganoso,2024-01-30 08:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSOLJtHsTyiThdlr_-_4DnjKLHAjmxMV3xyGYhPplv6YF44n928,"['Alexandre de Moraes', 'Impeachment']"
Candidato ao Senado foi julgado inelegível por contratar influenciadores,Estadão,https://www.estadao.com.br/estadao-verifica/postagem-omite-motivo-para-inelegibilidade-de-candidato-ao-senado-em-minas-gerais/,Fora de contexto,2024-01-15 08:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQ0VHlYa9pmJKEfLVz3ZbndyMUxvlJE2tPEJPa0x6wl3Cip8iu4,"['Candidato', 'Senado Federal do Brasil']"
"""Olha que beleza! Será que isto pode ser considerado Nepotismo? Lurian, filha de Lula será a nova assessora de imprensa do Senado e receberá por seus serviços, 37 mil, mais uma ajuda de custo de 20 mil, além de carro e motorista à disposição.""",Observador,https://observador.pt/factchecks/fact-check-filha-de-lula-da-silva-contratada-como-assessora-do-senado-com-um-salario-superior-a-10-mil-euros-por-mes/,Errado,,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSPoSTekUtgc_77fQoKLZVgRXrfRC2VlIfGvKU-4cRTmZlv5x96,"['Luiz Inácio Lula da Silva', 'Lurian Cordeiro Lula da Silva', 'Custo', 'Nepotismo', 'Filho', 'Serviço', 'Imprensa']"
Aprovado projeto de lei que concede aposentadoria especial para mães atípicas,Estadão,https://www.estadao.com.br/estadao-verifica/aprovada-aposentadoria-especial-para-maes-atipicas-falso/,Falso,2025-07-18 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcT6NNkxsRANceAtdQ1voHSxxkvmxEHMG7-DJWfpxzuWW7sFt9TY,"['Aposentadoria especial', 'Aposentadoria', 'Projeto de lei', 'Lei', 'Mãe', 'Projeto']"
"Uma notícia que acabou de sair, agora há pouco: Senado aprovou audiência pública sobre denúncias na eleição 2022",Aos Fatos,https://www.aosfatos.org/noticias/senado-nao-aprovou-audiencia-publica-2023-eleicoes-2022/,falso,2023-05-30 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcShaSdomkZQfPABJPpGjnxdCEqgmau5D_rLxHZE3PoUDpFtRD2y,"['Senado Federal do Brasil', 'Eleição', 'Espectador', '2022', 'Audiência pública', 'Notícia']"
