Claim,Source Name,Source URL,Verdict,Review Publication Date,Image URL,Tags
A situação clínica do ex-presidente acaba de se agravar e informações de bastidores sugerem uma tentativa de eliminação física por agentes patogénicos colocados na sua cela,Observador,https://observador.pt/factchecks/fact-check-jair-bolsonaro-foi-envenenado-com-chumbo-dentro-da-prisao/,Errado,,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSPoSTekUtgc_77fQoKLZVgRXrfRC2VlIfGvKU-4cRTmZlv5x96,"['Presidente', 'Informação', 'Agente patogénico', 'Física']"
Bolsonaro foi preso por ato terrorista e expulso do Exército,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2022/10/16/bolsonaro-ja-foi-preso.htm,Falso,2022-10-16 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSnyTSY1Ep1HVOlrqUuZJWfqi_-N5sAux_RoYhgfQ2S2H5usk0c,"['Jair Bolsonaro', 'Prisão', 'Terrorismo', 'Exército']"
"Superior Tribunal Militar disse que Bolsonaro não pode cumprir pena no presídio da Papuda, em Brasília",Aos Fatos,https://www.aosfatos.org/noticias/superior-tribunal-militar-nao-impediu-bolsonaro-de-cumprir-pena-na-papuda/,falso,2025-11-14 08:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTBcgxm1ie6G9RgfQKWaAVXVk75utZXgC1YprD-0XOBYJY2mW8M,"['Jair Bolsonaro', 'Superior Tribunal Militar', 'Complexo Penitenciário da Papuda', 'Sanção penal', 'Penitenciária', 'Brasília']"
"""Superior Tribunal Militar diz que Bolsonaro não pode cumprir pena na Papuda. Integrantes da Corte alegam falta de segurança e prerrogativas de ex-presidente. A decisão amplia o impasse entre o STF e os militares e reacende o debate sobre perseguição política""",UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2025/11/18/falso-stm-contra-prisao-bolsonaro-papuda.htm,Falso,2025-11-18 08:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRSTrubPeOLYJpvcMUWo195h9qSNtVOLSxywekN9SiQGeUFsRaQ,"['Jair Bolsonaro', 'Superior Tribunal Militar', 'Complexo Penitenciário da Papuda', 'Presidente', 'Supremo Tribunal Federal', 'Debate', 'Político', 'Sanção penal', 'Tribunal', 'Militar']"
"""Bolsonaro [foi] preso em 1987 por incitar e planear um atentado contra o próprio Exército, para pressionar o aumento do seu próprio salário.""",Observador,https://observador.pt/factchecks/fact-check-jair-bolsonado-esteve-preso-por-planear-atentado-contra-exercito-brasileiro/,Errado,2022-10-27 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTa8KIkZGb0vbNkxg-_t8JCaukkEZlUJgwFzqRi1zRBtwaREZUo,"['Jair Bolsonaro', 'Prisão', 'Forças armadas', 'Planejamento', 'Salário', '1987']"
STF não tem tem competência para decidir medidas da execução penal de Jair Bolsonaro,Estadão,https://www.estadao.com.br/estadao-verifica/stf-execucao-penal-jair-bolsonaro/,Falso,2026-01-15 08:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSfoKJTm38FEiTI6Ily1O1NLJmOs6j59KCDYRtynLxYOmNi-H3O,"['Jair Bolsonaro', 'Supremo Tribunal Federal', 'Direito penal']"
Protesto contra a prisão de Bolsonaro.,Observador,https://observador.pt/factchecks/fact-check-video-mostra-protesto-contra-prisao-do-ex-presidente-brasileiro-jair-bolsonaro/,Errado,2025-12-11 08:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTbc1oYGE0Iz78orV5bXwaLEK86f414nIGoRUWjHL3RAEWA8idc,"['Jair Bolsonaro', 'Protesto', 'Prisão de Jair Bolsonaro', 'Prisão']"
Bolsonaro desmaia na cadeia e é levado às pressas para hospital 12/12/2025,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2025/12/16/e-falso-que-bolsonaro-passou-mal-na-prisao-e-foi-levado-a-hospital.htm,Falso,2025-12-16 08:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTB-gMigomRIQupSNx4pwON03Px5W3TozkpzGksbjlXdjwNxqPt,"['Jair Bolsonaro', 'Hospital', 'Prisão', 'Síncope', '2025']"
Vídeo mostra Bolsonaro recebendo alta no dia 11/12 após ser hospitalizado,Aos Fatos,https://www.aosfatos.org/noticias/bolsonaro-nao-foi-para-hospital-nem-recebeu-alta-no-dia-11-de-dezembro/,falso,2025-12-12 08:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTlLHsL278v0Mgg59oItgo2jCpmjraodGDGVj5rQsA2NltJSsy_,"['Jair Bolsonaro', 'Dia', 'Hospitalização', 'Vídeo']"
Foi Jair Bolsonaro quem acionou agentes da Polícia Penal para avisar que tornozeleira estava sem bateria,Aos Fatos,https://www.aosfatos.org/noticias/posts-mentem-ao-afirmar-que-bolsonaro-nao-violou-tornozeleira-eletronica/,falso,2025-11-24 08:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRpmFE5ZaNoPswaUDgDaEQv7k2ktqRcvpDSMW0osGqPRasaDGQQ,"['Jair Bolsonaro', 'Tornozeleira', 'Policial penal']"
