Claim,Source Name,Source URL,Verdict,Review Publication Date,Image URL,Tags
TSE vai destruir 195 mil urnas para esconder provas de fraude,Aos Fatos,https://www.aosfatos.org/noticias/tse-destruir-urnas-provas-fraude/,falso,2025-02-27 08:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQ2F_GgSDikyArnN_17ob9sdGUT-EdzmZDi-H97NUKzwkRx5ZhF,"['Tribunal Superior Eleitoral', 'Urna eleitoral', 'Fraude', 'Prova']"
"Foto mostra a mascote ""Pilili"", do TSE, fazendo o L",AFP Checamos,https://checamos.afp.com/doc.afp.com.B2A88ZQ,Falso,2026-05-08 15:45:22,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRqwAmxUYTTLvWbyFP-8AoIPXICT6bSyImLR5HyPRAJ_1p9J8xT,"['Tribunal Superior Eleitoral', 'Mascote', 'Faz o L', 'Fotografia']"
TSE descarta 195 mil urnas após denúncia de golpe por Mike Benz,Estadão,https://www.estadao.com.br/estadao-verifica/tse-descarta-195-mil-urnas-apos-denuncias-mike-benz/,Enganoso,2025-02-28 08:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRHlldEusu9hOwSe3ANS1gVAjDNDc6eriEBdxSGht4BOyQTjACC,"['Tribunal Superior Eleitoral', 'Urna eleitoral']"
"Pilili, mascote da urna eletrônica, faz o L de Lula",UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2026/05/08/falso-mascote-tse-fez-o-l.ghtm,Falso,2026-05-08 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTly0XfN1Gcr7UahWG_vKNdWCDAbExR8d7WAUyOptt2q3heww8P,"['Luiz Inácio Lula da Silva', 'Urna eleitoral', 'Mascote', 'Faz o L', 'Máquina de votação', 'Eletrônica']"
TSE descarta 200 mil urnas para apagar rastro da fraude e enterrar qualquer chance de auditoria,AFP Checamos,https://checamos.afp.com/doc.afp.com.372U92K,Falso,2025-03-18 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRETgmREgzgU9sm9CjjgJjFk0-oTOm0pHmTZFAypAgES3hrMCbG,"['Urna eleitoral', 'Tribunal Superior Eleitoral', 'Auditoria', 'Fraude']"
Conseguiram identificar os nomes e votos de 100% dos eleitores,Aos Fatos,https://www.aosfatos.org/noticias/log-urna-nao-identifica-nome-voto/,falso,2022-11-17 08:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTC4FSaTebF6xRfCM_yzbaymIUaLTXfF6E9T3yeLustO1k4J2Y3,"['Votação', 'Eleição']"
Nos falta a possibilidade de auditar se o voto computado e totalizado eletronicamente corresponde materialmente ao voto impresso,Aos Fatos,https://www.aosfatos.org/noticias/relatorio-novo-codigo-eleitoral-usa-desinformacao-justificar-voto-impresso/,falso,2025-08-25 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTjp31mOKOEh0NBcm_m8RBROcofAPv6gq1zQK98pElN3LExhMUf,"['Comprovante de votação verificado pelo eleitor', 'Votação', 'Auditoria']"
Urnas eletrônicas são conectadas à internet no momento da totalização dos votos,Aos Fatos,https://www.aosfatos.org/noticias/nao-e-verdade-que-urnas-eletronicas-do-tse-podem-ser-invadidas-pela-internet/,falso,2021-07-23 07:00:00,,"['Urna eletrônica', 'Votação', 'Internet']"
"Nos EUA, na conferência Defcon, comprovaram a existência de falhas de segurança nas urnas eletrônicas",Aos Fatos,https://www.aosfatos.org/noticias/nao-e-verdade-que-urnas-eletronicas-do-tse-podem-ser-invadidas-pela-internet/,distorcido,2021-07-23 07:00:00,,"['Urna eletrônica', 'Estados Unidos', 'Existência']"
"O ataque hacker ao TSE em 2020 vazou nome, CPF, foto, RG e dados biométricos",Aos Fatos,https://www.aosfatos.org/noticias/nao-e-verdade-que-urnas-eletronicas-do-tse-podem-ser-invadidas-pela-internet/,falso,2021-07-23 07:00:00,,"['Tribunal Superior Eleitoral', 'Hacker', 'Vazamento', 'Dados', 'Carteira de Identidade Nacional', 'Cadastro de Pessoas Físicas', 'Biometria', '2020']"
