Texto,Label,Fonte,URL
Luiz Inacio Lula da Silva e o presidente da Republica Federativa do Brasil.,True,Planalto,https://www.gov.br/planalto/pt-br
Lula e o presidente do Brasil.,True,Planalto,https://www.gov.br/planalto/pt-br
O presidente da Republica e Luiz Inacio Lula da Silva.,True,Planalto,https://www.gov.br/planalto/pt-br
O Tribunal Superior Eleitoral organiza e fiscaliza o processo eleitoral brasileiro.,True,TSE,https://www.tse.jus.br/
A urna eletronica e usada pela Justica Eleitoral nas votacoes oficiais.,True,TSE,https://www.tse.jus.br/eleicoes/urna-eletronica
A urna e segura.,True,TSE,https://www.tse.jus.br/eleicoes/urna-eletronica/seguranca-da-urna
A urna eletronica e segura.,True,TSE,https://www.tse.jus.br/eleicoes/urna-eletronica/seguranca-da-urna
As urnas eletronicas sao seguras.,True,TSE,https://www.tse.jus.br/eleicoes/urna-eletronica/seguranca-da-urna
Bolsonaro esta preso.,True,Agencia Brasil,https://agenciabrasil.ebc.com.br/justica/noticia/2025-11/bolsonaro-e-preso-preventivamente-em-brasilia
bolsonaro esta preso,True,Agencia Brasil,https://agenciabrasil.ebc.com.br/justica/noticia/2025-11/bolsonaro-e-preso-preventivamente-em-brasilia
Jair Bolsonaro esta preso.,True,Agencia Brasil,https://agenciabrasil.ebc.com.br/justica/noticia/2025-11/bolsonaro-e-preso-preventivamente-em-brasilia
Bolsonaro esta em prisao domiciliar humanitaria.,True,Agencia Brasil,https://agenciabrasil.ebc.com.br/politica/noticia/2026-05/bolsonaro-e-internado-para-cirurgia-no-ombro-em-brasilia
Jair Bolsonaro levou uma facada durante a campanha eleitoral de 2018.,True,Agencia Brasil,https://agenciabrasil.ebc.com.br/justica/noticia/2025-11/bolsonaro-tem-crise-de-soluco-e-passa-por-atendimento-medico-na-prisao
Bolsonaro levou uma facada durante a campanha eleitoral de 2018.,True,Agencia Brasil,https://agenciabrasil.ebc.com.br/justica/noticia/2025-11/bolsonaro-tem-crise-de-soluco-e-passa-por-atendimento-medico-na-prisao
bolsonaro levou uma facada,True,Agencia Brasil,https://agenciabrasil.ebc.com.br/justica/noticia/2025-11/bolsonaro-tem-crise-de-soluco-e-passa-por-atendimento-medico-na-prisao
Jair Bolsonaro foi esfaqueado durante a campanha eleitoral de 2018.,True,Agencia Brasil,https://agenciabrasil.ebc.com.br/justica/noticia/2025-11/bolsonaro-tem-crise-de-soluco-e-passa-por-atendimento-medico-na-prisao
Bolsonaro foi esfaqueado.,True,Agencia Brasil,https://agenciabrasil.ebc.com.br/justica/noticia/2025-11/bolsonaro-tem-crise-de-soluco-e-passa-por-atendimento-medico-na-prisao
"Foram mais de 10 anos de um longo processo coletivo, sustentado pelos agentes da dança de todo o Brasil, mobilizados por sindicatos, associações e pelo Fórum Nacional de Dança (FND), que há duas décadas atua nesta construção.",True,Fonte oficial,https://www.gov.br/cultura/pt-br/assuntos/noticias/lei-da-danca-e-sancionada-pelo-presidente-luiz-inacio-lula-da-silva
"No encontro, as autoridades debateram a realização da Copa do Mundo Feminina de Futebol de 2027, que será disputada no Brasil entre 24 de junho e 25 de julho, por 32 seleções, em oito cidades brasileiras.",True,Fonte oficial,https://www.gov.br/esporte/pt-br/noticias-e-conteudos/esporte/ao-lado-do-presidente-lula-ministro-do-esporte-se-reune-com-presidentes-da-fifa-e-cbf-para-debater-a-copa-do-mundo-feminina-2027
"Após a reunião com o presidente Lula e o ministro do Esporte, André Fufuca, Gianni Infantino, Samir Xaud e Carlo Ancelotti demonstraram confiança de que o Brasil realizará, em 2027, a melhor edição de todos os tempos da Copa do Mundo Feminina de Futebol.",True,Fonte oficial,https://www.gov.br/esporte/pt-br/noticias-e-conteudos/esporte/ao-lado-do-presidente-lula-ministro-do-esporte-se-reune-com-presidentes-da-fifa-e-cbf-para-debater-a-copa-do-mundo-feminina-2027
"O evento, cuja marca oficial foi apresentada neste domingo (25/1), no Rio de Janeiro, será disputado em oito cidades brasileiras, entre 24 de junho e 25 de julho do ano que vem.",True,Fonte oficial,https://www.gov.br/esporte/pt-br/noticias-e-conteudos/esporte/ao-lado-do-presidente-lula-ministro-do-esporte-se-reune-com-presidentes-da-fifa-e-cbf-para-debater-a-copa-do-mundo-feminina-2027
"“Falamos de futebol, do Mundial Feminino Brasil 2027.",True,Fonte oficial,https://www.gov.br/esporte/pt-br/noticias-e-conteudos/esporte/ao-lado-do-presidente-lula-ministro-do-esporte-se-reune-com-presidentes-da-fifa-e-cbf-para-debater-a-copa-do-mundo-feminina-2027
"Trabalhamos juntos, CBF, FIFA, governo, para que seja um sucesso.",True,Fonte oficial,https://www.gov.br/esporte/pt-br/noticias-e-conteudos/esporte/ao-lado-do-presidente-lula-ministro-do-esporte-se-reune-com-presidentes-da-fifa-e-cbf-para-debater-a-copa-do-mundo-feminina-2027
"“Que todos estejam com a FIFA, com a CBF, com o Governo do Brasil para apoiar as mulheres e o futebol feminino.",True,Fonte oficial,https://www.gov.br/esporte/pt-br/noticias-e-conteudos/esporte/ao-lado-do-presidente-lula-ministro-do-esporte-se-reune-com-presidentes-da-fifa-e-cbf-para-debater-a-copa-do-mundo-feminina-2027
"DIVISOR DE ÁGUAS – Para o presidente da CBF, o Mundial de 2027 será um marco para o futebol feminino brasileiro e da América do Sul.",True,Fonte oficial,https://www.gov.br/esporte/pt-br/noticias-e-conteudos/esporte/ao-lado-do-presidente-lula-ministro-do-esporte-se-reune-com-presidentes-da-fifa-e-cbf-para-debater-a-copa-do-mundo-feminina-2027
“A gente está vivendo um momento ímpar com esse grande evento que vai ter no Brasil.,True,Fonte oficial,https://www.gov.br/esporte/pt-br/noticias-e-conteudos/esporte/ao-lado-do-presidente-lula-ministro-do-esporte-se-reune-com-presidentes-da-fifa-e-cbf-para-debater-a-copa-do-mundo-feminina-2027
"E a gente está aqui, com o presidente Infantino, que apoia 100% o evento.",True,Fonte oficial,https://www.gov.br/esporte/pt-br/noticias-e-conteudos/esporte/ao-lado-do-presidente-lula-ministro-do-esporte-se-reune-com-presidentes-da-fifa-e-cbf-para-debater-a-copa-do-mundo-feminina-2027
