Claim,Source Name,Source URL,Verdict,Review Publication Date,Image URL,Tags
Haddad ganhará no primeiro turno em SP segundo a pesquisa AtlasIntel,AFP Checamos,https://checamos.afp.com/doc.afp.com.A83P9ZQ,Enganoso,2026-04-16 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQ7zd6N0Y8zAZaa4LPN9shvavdsW0jPd1j1e0ktLwwwNS2pKW2B,"['Fernando Haddad', 'AtlasIntel', 'Pesquisa', 'São Paulo']"
Tarcísio junta 12 governadores e pedem intervenção federal no STF,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2026/02/11/falso-reuniao-tarcisio-governadores-intervencao-stf-moraes.htm,Falso,2026-02-11 08:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcS3z1ZnRGgA8xZPiiX61fctmRf0pcBY4nOYpkr5WRQB1hICqjlA,"['Tarcísio de Freitas', 'Supremo Tribunal Federal', 'Governador', 'Intervenção federal']"
Tarcísio pediu intervenção federal no STF em reunião com 12 governadores,Aos Fatos,https://www.aosfatos.org/noticias/e-falso-que-tarcisio-convocou-reuniao-com-governadores-para-pedir-intervencao-contra-moraes/,falso,2026-02-10 08:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQ2OV5p-imFYJ4UEdSCrTrQqU3gjSUus6IIc8RdddrFQYADAHOl,"['Tarcísio de Freitas', 'Governador', 'Supremo Tribunal Federal', 'Intervenção federal']"
Dezoito governadores declararam desobediência cívica contra o STF,Aos Fatos,https://www.aosfatos.org/noticias/e-falso-18-governadores-anunciaram-nao-irao-mais-cumprir-decisoes-stf/,falso,2026-02-13 08:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSVDctYXy_gzxnBmOHNnFc_tI9Oih1kJ0g0jeMo7O7gFLIKUGpG,"['Governador', 'Supremo Tribunal Federal', 'Desobediência civil']"
Governadores de 12 estados assinaram carta pedindo ao Senado intervenção federal no STF,Estadão,https://www.estadao.com.br/estadao-verifica/governadores-tarcisio-de-freitas-carta-intervencao-stf-falso/,Falso,2026-02-11 08:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRAKW0PLizcuYfO6-qKbs5kAjCi8Kimcc9okw6PE6sGat65pdGq,"['Governador', 'Supremo Tribunal Federal', 'Intervenção federal', 'Senado Federal do Brasil', 'Carta', 'Unidades federativas do Brasil']"
"Ache uma foto do Haddad com o CEO do Banco Master. Não achou? E do Zema, Tarcisio, Caiado, Castro, Jorginho, Ratinho Jr tem?",UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2025/12/05/e-montagem-foto-do-dono-do-banco-master-com-governadores.htm,Falso,2025-12-05 08:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQtU4XMCJDxyeogoBLkQk3xdv7RSbdzyT_bdy7A9mgKSjJB_YzB,"['Banco Master', 'Fotografia', 'Tarcísio de Freitas', 'Ronaldo Caiado', 'Romeu Zema', 'Fernando Haddad', 'Ratinho Júnior', 'Banco', 'Diretor executivo']"
Governador Tarcísio quer taxar gorjeta de garçons em São Paulo,AFP Checamos,https://checamos.afp.com/doc.afp.com.793D7T4,Enganoso,2025-10-16 07:00:00,,"['Gorjeta', 'Tarcísio de Freitas', 'Taxa', 'Garçom', 'São Paulo', 'Governador']"
Segurança do ex-delegado Ruy Ferraz Fontes foi retirada por Tarcísio de Freitas,Aos Fatos,https://www.aosfatos.org/noticias/governo-sp-nao-retirou-escolta-ruy-fontes-apos-aposentadoria/,falso,2025-09-18 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTLyUoVhTxdCnwv72c07vpk5DFIurhl6FlhHhLYAJOJ_i4AxiTG,"['Ruy Ferraz Fontes', 'Delegado de polícia', 'Tarcísio de Freitas', 'Segurança']"
"Essa anistia, assim como foi em 1979, tem que ser ampla, tem que alcançar todo mundo, tem que ser irrestrita.",Aos Fatos,https://www.aosfatos.org/noticias/7-de-setembro-liderancas-bolsonaristas-desinformam-processo-stf-anistia-e-adelio/,falso,2025-09-08 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRkyahSblTmpkbU1d--Uu5syeG36rAKLbAQSPbrZBpzSVP4Ra3G,"['Anistia', '1979', 'Mundo']"
"Como é que vão condenar uma pessoa [Bolsonaro] sem nenhuma prova? Porque eles têm uma única delação de um colaborador [Mauro Cid] que mudou a versão seis, sete vezes em três dias, sob coação",Aos Fatos,https://www.aosfatos.org/noticias/7-de-setembro-liderancas-bolsonaristas-desinformam-processo-stf-anistia-e-adelio/,falso,2025-09-08 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRkyahSblTmpkbU1d--Uu5syeG36rAKLbAQSPbrZBpzSVP4Ra3G,"['Jair Bolsonaro', 'Mauro Cid', 'Prova', 'Delação premiada', 'Condenação', 'Coação', 'Dia']"
Tarcísio apagou foto em que usa boné ‘Make America Great Again’,Aos Fatos,https://www.aosfatos.org/noticias/tarcisio-nao-apagou-foto-bone-make-america-great-again/,falso,2025-07-14 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcT5F_V2RlqD1WMxWHBG_0P0-t1Nn5xJyN9osaFOxiR7wt3lTU-H,"['Tarcísio de Freitas', 'Make America Great Again', 'Boné Make America Great Again', 'Estados Unidos', 'Fotografia', 'Boné de beisebol']"
"""Tarcísio deleta post no Instagram em que aparecia com o boné do MAGA de Donald Trump""",UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2025/07/14/tarcisio-apagou-foto-bone-maga-trump-falso.htm,Falso,2025-07-14 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS2qagdKC9jv9afd0I5tWjzkjUVmx8cicxC-HAqF8tyFTgWq0Oq,"['Tarcísio de Freitas', 'Donald Trump', 'Boné', 'Make America Great Again', 'Instagram']"
Tarcísio de Freitas divulga link para consulta e saque de indenização por vazamento de dados,Estadão,https://www.estadao.com.br/estadao-verifica/falso-governador-tarcisio-de-freitas-anunciou-indenizacao-dados-vazados/,Falso,2025-04-01 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSVqZFn1lf_Fg13e13QS5EoAsIxYSv64Ga6Znqm3B_WC2pUXkog,"['Tarcísio de Freitas', 'Indenização', 'Dados', 'Saquê']"
O governador Tarcísio de Freitas privatizou escolas públicas de São Paulo,AFP Checamos,https://checamos.afp.com/doc.afp.com.36LH4NN,Enganoso,2024-11-04 08:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQUCLzXIyv5QI0egLxChj-wOagXHd5q4vcFucrmWhIcqU98HsBa,"['Escola', 'Escola Pública', 'São Paulo', 'Tarcísio de Freitas', 'Governador']"
"A Aneel pode dizer: ‘A empresa não cumpriu o contrato, o contrato está caduco, caducidade, vou romper a concessão’. Essa é uma decisão que não é do Lula, não é do Tarcísio, não é minha, não é do Nunes. Essa decisão é da Aneel.",Aos Fatos,https://www.aosfatos.org/noticias/checamos-boulos-inteligencia-ltda-segundo-turno/,verdadeiro,2024-10-24 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTd9tCzIXq0hsdroklhXorkVkQ9VaCwr9S2qJN6Ty-VzCvTaLu-,"['Ricardo Nunes', 'Luiz Inácio Lula da Silva', 'Contrato', 'Tarcísio de Freitas', 'Concessão', 'Agência Nacional de Energia Elétrica', 'Empresa']"
Somente Tarcísio de Freitas mobilizou ações de combate aos incêndios em SP,Aos Fatos,https://www.aosfatos.org/noticias/falso-governo-federal-nao-ajudou-combater-incendios-sp/,falso,2024-08-27 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcS0KLcGv7-FRG9zUyG6smiznnpzyCHPU_iZK5Aqa2pjK8aV7399,"['Tarcísio de Freitas', 'Incêndio', 'São Paulo', 'Combate', 'Ação']"
"Com a lei de Tarcísio, vacinação infantil anticovid não é obrigatória em SP",AFP Checamos,https://checamos.afp.com/doc.afp.com.34HV2F8,Enganoso,2024-02-08 08:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRcukeUftkZjTKaitKBOcd5vKoNK4e_TcLVXMIcVMlf_cbhae1n,"['Vacina', 'Vacina contra COVID-19', 'Tarcísio de Freitas', 'São Paulo', 'Lei']"
"UMA PONTE QUE QUASE NINGUÉM SABE DA SUA EXISTÊNCIA. PQ A MÍDIA LIXO ESCONDEU TODAS OBRAS DA GESTÃO DE BOLSONARO. UMA DAS GRANDES OBRAS DE ENGENHARIA DO GOVERNO BOLSONARO E TARCÍSIO.* *DIVULGUE, POIS A NOSSA MÍDIA COMUNISTA NÃO O FAZ.",UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2023/12/13/ponte-rollemberg-vuolo-foi-inaugurada-no-governo-de-fhc-nao-de-bolsonaro.htm,Falso,2023-12-13 08:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQi9Y29glJc1xiNPyRibp-bLE30noUDtFyESWwMJ84_DHm684DS,"['Ponte', 'Jair Bolsonaro', 'Governo', 'Tarcísio de Freitas', 'Administração', 'Engenharia', 'Comunismo', 'Existência', 'Resíduo sólido']"
Presidente do Paraguai preferiu se encontrar com Tarcísio de Freitas do com o presidente Lula,Aos Fatos,https://www.aosfatos.org/noticias/falso-presidente-do-paraguai-ignorou-lula/,falso,2023-08-16 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcS7e605PiGy422-hcHkU0AjSK5J3-1RCHiMz8b6neom_otsMk-Y,"['Luiz Inácio Lula da Silva', 'Presidente do Paraguai', 'Paraguai', 'Presidente', 'Tarcísio de Freitas']"
Vídeo mostra blindados adquiridos por Tarcísio de Freitas (PL),Aos Fatos,https://www.aosfatos.org/noticias/falso-tarcisio-blindados-pm-sp/,falso,2023-08-07 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQUqcj9XFLEJZsykKkxNY9meeaf33gtAz5Nb20zgkUOx3zb6GPq,"['Tarcísio de Freitas', 'Blindagem de veículos', 'Partido Liberal', 'Vídeo']"
"Para combater o PCC de Lula, Gov. SP Tarcísio de Freitas (PL) comprou 6 blindados para a PM de São Paulo",UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2023/07/07/e-falso-que-tarcisio-tenha-comprado-seis-blindados-para-a-policia-de-sp.htm,Falso,2023-07-07 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQ_P8_GCari5oQvaX1ug27BSxTuw_sC88vYaCGJKJgWDneErQJp,"['Tarcísio de Freitas', 'Polícia Militar do Estado de São Paulo', 'Blindagem de veículos', 'São Paulo', 'GOV', 'Primeiro Comando da Capital', 'Partido Liberal', 'Luiz Inácio Lula da Silva']"
Lula inaugurou a obra da Ferrovia Norte-Sul já inaugurada por Tarcísío de Freitas,AFP Checamos,https://checamos.afp.com/doc.afp.com.33L33PJ,Falso,2023-06-27 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRHQn2Sjz_BTgK9WHPRDw8EO0Qx716U4zpI_DWrPTmn5FqBvZw0,"['Pontilhão Ferrovia Norte-Sul', 'Tarcísio de Freitas', 'Luiz Inácio Lula da Silva', 'Obra']"
4 pessoas MORRERAM com o desabamento de 2 Pontes superfaturadas construídas por Bolsonaro e pelo então ministro Tarcísio no Amazonas,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2022/10/14/pontes-que-cairam-no-am-nao-foram-construidas-por-bolsonaro-e-tarcisio.htm,Falso,2022-10-14 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT70HL9K05FuDo29lnAVqaML3icQLw9qbhtJogjCjZUySGZHh5T,"['Jair Bolsonaro', 'Tarcísio de Freitas', 'Amazonas', 'Ministro']"
"Publicações no Twitter e TikTok trazem vídeo de uma multidão em uma arena cantando “Eu sou Bolsonaro, com muito orgulho, com muito amor” para o ex-presidente, que aparece junto do governador de São Paulo, Tarcísio de Freitas (Republicanos), e do senador Marcos Pontes (PL-SP). No Twitter, o post afirma que a gravação teria sido feita durante a Agrishow em Ribeirão Preto (SP), em 30 de abril de 2023. Já no TikTok, o usuário diz que a filmagem foi feita no mesmo evento, mas em 1º de maio deste ano.",Folha - UOL,https://www1.folha.uol.com.br/mercado/2023/05/video-de-estadio-lotado-entoando-sou-bolsonaro-e-da-festa-do-peao-de-2022-nao-da-agrishow-de-2023.shtml,Enganoso,2023-05-05 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSDF4PKc4nXYhmqCfF-WdNEgxyGSYlE7HnsIa9n-E8zbSrEriUS,"['Jair Bolsonaro', 'Tarcísio de Freitas', 'Marcos Pontes', 'São Paulo', 'Republicanos', 'Governador de São Paulo', 'Partido Liberal', 'Ribeirão Preto']"
"Parabéns ao presidente Bolsonaro e ao ministro Tarcisio de Freitas. Do Pará ao Maranhão, quase 1.000 km de trem.",Projeto Comprova,https://projetocomprova.com.br/publica%C3%A7%C3%B5es/linha-de-trem-que-liga-o-para-ao-maranhao-existe-ha-36-anos-e-nao-e-obra-do-governo-bolsonaro/,"É ENGANOSO tuíte parabenizando Bolsonaro e Tarcísio de Freitas pela operação do trem de passageiros entre Parauapebas e São Luís. Há 25 anos, o trecho é de responsabilidade da mineradora Vale S.A.",2022-04-06 07:00:00,,"['Trem', 'Jair Bolsonaro', 'Maranhão', 'Pará', 'Tarcísio de Freitas', 'Presidente', 'Ministro', 'Quilômetro']"
"Vídeo feito por caminhoneiro mostra a estrada pela qual trafega, no Mato Grosso, obra concretizada por Bolsonaro e o ministro Tarcísio Freitas",Projeto Comprova,https://projetocomprova.com.br/publica%C3%A7%C3%B5es/video-atribui-a-bolsonaro-obras-em-estradas-no-mt-feitas-tambem-por-outros-governos/,ENGANOSO: Vídeo atribuiu exclusivamente ao governo Bolsonaro atos que também são da gestão estadual. E credita ao governo federal obras de pavimentação realizadas em governos anteriores.,2021-02-25 08:00:00,,"['Estrada', 'Jair Bolsonaro', 'Mato Grosso', 'Tarcísio de Freitas', 'Ministro', 'Vídeo', 'Obra', 'Caminhoneiro']"
Homem envolvido em atentado contra Tarcísio estava em comício de Lula no RJ,Projeto Comprova,https://projetocomprova.com.br/publica%C3%A7%C3%B5es/e-falso-que-homem-em-ato-de-lula-tenha-sido-preso-por-tiroteio-durante-agenda-de-tarcisio-em-sp/,Falso,2022-10-24 07:00:00,,"['Tarcísio de Freitas', 'Luiz Inácio Lula da Silva', 'Eleição', 'Homem', 'Rio de Janeiro']"
Augusto Heleno alerta sobre atentado contra Tarcísio de Freitas,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2022/10/17/video-de-heleno-sobre-atentado-e-de-2018-e-nao-se-refere-a-tarcisio.htm,Falso,2022-10-17 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSiBRi__8JkSRA1fVkOG0mSRvXNq9Yejdi-I3NyJBs4-uU32FsK,"['Augusto Heleno', 'Tarcísio de Freitas']"
Vejam a ponte ferroviária construída em apenas 11 meses de governo Bolsonaro!!! A maior da América Latina. Parabéns Ministro TARCÍSIO.,Aos Fatos,https://www.aosfatos.org/noticias/e-falso-que-ponte-foi-construida-em-11-meses-pelo-governo-bolsonaro/,falso,2019-12-30 08:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTBm5-CxhhKQpLPkhcIjlmp-8KtpQ3oerko-Vt8bcyh87seK1Tt,"['Jair Bolsonaro', 'Ponte', 'Governo', 'Ministro', 'Tarcísio de Freitas', 'Mês', 'América Latina', 'América']"
