Claim,Source Name,Source URL,Verdict,Review Publication Date,Image URL,Tags
"Foi declarada hoje uma nova sanção que pode eleger o capitão em 2026, mas que para isso aconteça ele precisa da sua ajuda. O STF determinou que se a multa de 30 milhões for paga na data prevista, o líder pode concorrer à presidência em 2026.",Observador,https://observador.pt/factchecks/fact-check-bolsonaro-pode-concorrer-as-eleicoes-presidenciais-de-pagar-multa-de-30-milhoes/,Errado,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTAdCTWXjkK3C4HGBdeSodJVXcPYdtk8Hv0Pr7jKseaWXg2fu4y,"['Presidente do Brasil', 'Multa', 'Sanção jurídica', 'Supremo Tribunal Federal', '2026', 'Liderança']"
Nunes Marques tornou Bolsonaro elegível novamente,Aos Fatos,https://www.aosfatos.org/noticias/nunes-marques-bolsonaro-elegivel/,falso,2026-05-19 16:26:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSFEny-cIwYUbTn8LCeERh4iUUid7vn9hZ9BT1Pn3vjAiquyCym,"['Nunes Marques', 'Jair Bolsonaro']"
Não encontraram nenhuma arma aqui [no 8 de janeiro],Aos Fatos,https://www.aosfatos.org/noticias/apos-se-tornar-reu-bolsonaro-mente-sobre-8-de-janeiro-e-eleicoes/,falso,2025-03-26 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSrH4Zyltx2R39Zh9dyV6KCPdZpUEBLprY0UnXIljW-G6OAe4NO,"['Janeiro', 'Ataques de 8 de janeiro em Brasília', 'Arma']"
"Quando acabaram as últimas eleições, a última agora, em 2022, o meu partido peticionou no TSE. No dia seguinte, o ministro presidente do TSE, Alexandre de Moraes, não aceitou, mandou arquivar e nos deu uma multa de 22 milhões. Alguém já viu algum advogado ser multado aí, por peticionar o poder judiciário?",Aos Fatos,https://www.aosfatos.org/noticias/apos-se-tornar-reu-bolsonaro-mente-sobre-8-de-janeiro-e-eleicoes/,falso,2025-03-26 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSrH4Zyltx2R39Zh9dyV6KCPdZpUEBLprY0UnXIljW-G6OAe4NO,"['Eleição', 'Presidente', 'Tribunal Superior Eleitoral', 'Ministro', 'Alexandre de Moraes', 'Partido político', '2022', 'Poder judiciário']"
"O que que o Lula fez no final do ano passado? Teve aqui reunião do G20, [ele] assinou 37 memorandos e acordos com a China. Entre esses acordos, entregou o nosso urânio para a China.",Aos Fatos,https://www.aosfatos.org/noticias/apos-se-tornar-reu-bolsonaro-mente-sobre-8-de-janeiro-e-eleicoes/,falso,2025-03-26 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSrH4Zyltx2R39Zh9dyV6KCPdZpUEBLprY0UnXIljW-G6OAe4NO,"['Luiz Inácio Lula da Silva', 'Memorando', 'Reunião', 'G20', '19.ª reunião de cúpula do G20', 'Urânio', 'China']"
[Conclusão do inquérito do PSDB:] as urnas são inauditáveis. Não sou eu que disse isso.,Aos Fatos,https://www.aosfatos.org/noticias/apos-se-tornar-reu-bolsonaro-mente-sobre-8-de-janeiro-e-eleicoes/,falso,2025-03-26 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSrH4Zyltx2R39Zh9dyV6KCPdZpUEBLprY0UnXIljW-G6OAe4NO,"['Urna eleitoral', 'Inquérito policial', 'Partido da Social Democracia Brasileira', 'PSDB']"
Eu não pude mostrar imagens do Lula falando que um pobre coitado rouba celular para tomar cervejinha.,Aos Fatos,https://www.aosfatos.org/noticias/apos-se-tornar-reu-bolsonaro-mente-sobre-8-de-janeiro-e-eleicoes/,não_é_bem_assim,2025-03-26 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSrH4Zyltx2R39Zh9dyV6KCPdZpUEBLprY0UnXIljW-G6OAe4NO,"['Luiz Inácio Lula da Silva', 'Telefone celular', 'Pobreza', 'Imagem']"
"Como é que ele chegou? 29 de julho de 21. (...) E dizendo que eu difundi fake news. Eu difundi o que tinha dentro do inquérito [1.361, de 2018]. Se é fake news, o inquérito é mentiroso.",Aos Fatos,https://www.aosfatos.org/noticias/apos-se-tornar-reu-bolsonaro-mente-sobre-8-de-janeiro-e-eleicoes/,falso,2025-03-26 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSrH4Zyltx2R39Zh9dyV6KCPdZpUEBLprY0UnXIljW-G6OAe4NO,"['Notícia', 'Julho', 'Notícia falsa', '2018', 'Inquérito policial', '2021', 'Mentira']"
Eu montei um ministério técnico.,Aos Fatos,https://www.aosfatos.org/noticias/apos-se-tornar-reu-bolsonaro-mente-sobre-8-de-janeiro-e-eleicoes/,falso,2025-03-26 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSrH4Zyltx2R39Zh9dyV6KCPdZpUEBLprY0UnXIljW-G6OAe4NO,['Ministério']
"Eu não interferi no TSE, o outro lado interferiu.",Aos Fatos,https://www.aosfatos.org/noticias/apos-se-tornar-reu-bolsonaro-mente-sobre-8-de-janeiro-e-eleicoes/,falso,2025-03-26 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSrH4Zyltx2R39Zh9dyV6KCPdZpUEBLprY0UnXIljW-G6OAe4NO,['Tribunal Superior Eleitoral']
"O povo, em grande parte, teve arma, e diminuímos em quase 30% o número de mortes por arma de fogo no Brasil.",Aos Fatos,https://www.aosfatos.org/noticias/apos-se-tornar-reu-bolsonaro-mente-sobre-8-de-janeiro-e-eleicoes/,não_é_bem_assim,2025-03-26 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSrH4Zyltx2R39Zh9dyV6KCPdZpUEBLprY0UnXIljW-G6OAe4NO,"['Número', 'Brasil', 'Arma', 'Arma de fogo', 'Morte', 'Fogo', 'O Povo']"
