Claim,Source Name,Source URL,Verdict,Review Publication Date,Image URL,Tags
"""Mariana Mortágua acaba de ser eleita pelo método marxista antidemocrático de braço no ar. E não pelo voto secreto. Vamos esperar pela posição do Tribunal Constitucional sobre a falta de respeito pela constituição desta eleição e deste partido. Estes é que são um perigo para a democracia.""",Observador,https://observador.pt/factchecks/fact-check-bloco-de-esquerda-elegeu-mariana-mortagua-atraves-do-metodo-do-braco-no-ar/,Errado,2023-05-29 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSPoSTekUtgc_77fQoKLZVgRXrfRC2VlIfGvKU-4cRTmZlv5x96,"['Mariana Mortágua', 'Votação', 'Partido político', 'Eleição', 'Democracia', 'Voto secreto', 'Constituição', 'Tribunal constitucional', 'Tribunal']"
"Nas eleições gerais de 2022 foram anulados 7,2 milhões de votos pelo TSE",AFP Checamos,https://checamos.afp.com/doc.afp.com.32KP4ZA,Falso,2022-10-04 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTmArTGCoohwVSV6QjIsicjkAWykMpm2j2pLNL2vP2ztjVGI1t1,"['Eleição', 'Votação', 'Eleições gerais brasileiras, 2022', 'Tribunal Superior Eleitoral', 'Eleições gerais', '2022']"
TSE admite falhas na contagem de votos,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2022/11/08/tse-barroso-falha-votos-falso.htm,Falso,2022-11-08 08:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQXheTBjLdul07BNFd7gbvH7FLLo5MDo8P08dE681c4zUXShj9w,"['Tribunal Superior Eleitoral', 'Votação']"
"Ele disse não para o ""projeto ficha limpa"". Diga NÃO para o seu voto Celso Russomano",O GLOBO,https://oglobo.globo.com/fato-ou-fake/e-fake-que-russomanno-votou-contra-ficha-limpa-1-24690200,Fake,2020-10-14 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQM2p3wTA4muepVrhG1iD2NjwR4B8QLDcetpxG-C6OXWaYVYaCG,"['Celso Russomanno', 'Lei da Ficha Limpa', 'Votação', 'Projeto']"
Vídeo mostra ribeirinhos chegando em Belém do Pará para votar em Lula no segundo turno das eleições 2022,AFP Checamos,https://checamos.afp.com/doc.afp.com.32ML72N,Falso,2022-11-01 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSDHATL9oXHAuZ9eL7vF5sHNuZimya7jBZjeUm7OmeT-Kmig_9I,"['Luiz Inácio Lula da Silva', 'Eleição', 'Votação', '2022', 'Vídeo', 'Ribeirinhos', 'Pará', 'Belém']"
"""Enquete com mais de 21 milhões de votos! Bolsonaro no primeiro turno!""",Observador,https://observador.pt/factchecks/fact-check-sondagem-atribui-60-das-intencoes-de-voto-a-jair-bolsonaro/,Errado,2022-09-29 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSPoSTekUtgc_77fQoKLZVgRXrfRC2VlIfGvKU-4cRTmZlv5x96,"['Jair Bolsonaro', 'Pesquisa de opinião', 'Votação']"
Luciano Huck declara voto em Lula nas eleições de 2022,AFP Checamos,https://checamos.afp.com/doc.afp.com.32F83RA,Falso,2022-07-22 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcREacsgJIqeg1zsbwcws1lf3KqC2o5GcLm4pC-mQaIiTPVOOep1,"['Luciano Huck', 'Luiz Inácio Lula da Silva', 'Eleição', '2022', 'Votação', 'Eleições presidenciais brasileiras, 2022']"
Votos no Canadá e nos EUA não foram computados e indicam fraude,Projeto Comprova,https://projetocomprova.com.br/publica%C3%A7%C3%B5es/secoes-eleitorais-que-nao-aparecem-em-site-do-tse-foram-agregadas-a-outras-votos-foram-computados/,Enganoso,2022-11-10 08:00:00,,"['Votação', 'Estados Unidos', 'Canadá', 'Fraude']"
Lula é o mais votado para presidente na história da humanidade,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2019/12/01/lula-mais-votado-confere.htm,Falso,2019-12-01 08:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQ-ljn-mcbHAmGFyJE9-z8cvtPq59BBryJSTf4FYfOghlm6IMzp,"['Luiz Inácio Lula da Silva', 'Presidente', 'Votação', 'História da humanidade', 'História']"
TSE permitirá voto por celular nas eleições de 2020.,Aos Fatos,https://www.aosfatos.org/noticias/e-falso-que-tse-permitiu-voto-pelo-celular-nestas-eleicoes/,falso,2020-10-22 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTehsmHhsX6INQkSNy-NpjZ0r4IEg61a_IRq3lrwSeKKv59DEkB,"['Eleição', 'Tribunal Superior Eleitoral', 'Votação', 'Eleições municipais no Brasil, 2020', '2020']"
