Claim,Source Name,Source URL,Verdict,Review Publication Date,Image URL,Tags
"Lula questionou: “se a mulher entrar na política, quem é que vai fazer a janta?""",Aos Fatos,https://www.aosfatos.org/noticias/lula-quem-vai-fazer-a-janta-mulheres-politica/,falso,2026-04-20 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcS3VzD3mSiHtKV5IpLqTFtftJZXH5YnL5imQn1CD3-cAyOym-d9,"['Luiz Inácio Lula da Silva', 'Política', 'Mulher']"
Presidente Luiz Inácio Lula da Silva disse que a mulher tem que ficar em casa para dar banho e jantar para os filhos e marido.,Estadão,https://www.estadao.com.br/estadao-verifica/enganoso-lula-mulher-ficar-casa-jantar-filhos-marido/,Enganoso,2026-04-16 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTkhoOSkaMaRcJOd1JgYeooKa3Iri1VXspEJAzCxh97kSS8X2i3,"['Luiz Inácio Lula da Silva', 'Presidente', 'Mulher', 'Banho']"
"""Momento em que presos políticos fueron liberados em Venezuela""",UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2026/01/13/falso-video-libertacao-presos-venezuela-2024.htm,Falso,2026-01-13 08:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTvQZ_38SSC2ONhAh6qMFtqzU4b2--P2ge-R_WN9-fT8KfQK-am,"['Venezuela', 'Preso político', 'Política', 'Penitenciária']"
Vídeo mostra soltura de presos políticos após captura de Nicolás Maduro,Aos Fatos,https://www.aosfatos.org/noticias/e-de-2024-nao-atual-video-soltura-presos-politicos-venezuela/,falso,2026-01-12 08:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTI-ynTIXSfoWeBL9QR1Jf0l7VblpseSkfq2gbX8fPfaW2YGzvK,"['Preso político', 'Nicolás Maduro', 'Política', 'Vídeo']"
"As invasões de grupos pró-Hamas na abertura do Mercado de Natal em Bruxelas, repetidas também na Alemanha e no Reino Unido, ultrapassam a simples expressão política.",Observador,https://observador.pt/factchecks/fact-check-extremistas-pro-hamas-invadem-mercado-de-natal-em-bruxelas/,Enganador,2025-12-29 08:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSjosgN8YHTHaFSkl9tlfPoHtpGiZZp3CmZ6bAfhFdOQt8URnHJ,"['Mercado de Natal', 'Hamas', 'Bruxelas', 'Natal', 'Mercado', 'Política', 'Reino Unido', 'Alemanha']"
Centenas de mercados e festivais de Natal serão cancelados pela primeira vez (...). Este cenário demonstra que as políticas de diversidade e inclusão na Alemanha estão a falhar em toda a linha. É importante reflectir sobre este facto quando se criticam as propostas preventivas do Chega.,Observador,https://observador.pt/factchecks/fact-check-alemanha-cancelou-centenas-de-mercados-de-natal-por-receio-de-ataques-terroristas/,Errado,2025-11-28 08:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSPoSTekUtgc_77fQoKLZVgRXrfRC2VlIfGvKU-4cRTmZlv5x96,"['Natal', 'Alemanha', 'Mercado', 'Política', 'Fato', 'Chega!', 'Festival']"
Personalidades políticas de direita promovem produtos no TikTok Shop,AFP Checamos,https://checamos.afp.com/doc.afp.com.86728WE,Falso,2025-11-25 08:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSfrglgQMYOsiP16wwh2zCUPOFfyE9cBqK1HAYVF2m40W6gFlly,"['Política', 'Produto', 'Direita', 'Personalidade']"
"Sylvester Stallone decidiu deixar Nova Iorque, cidade onde viveu por cerca de 40 anos, devido ao que ele chama de ""degradação urbana"" e ""transformações sociais e políticas"" recentes que tornaram o ambiente incompatível com os seus valores.",Observador,https://observador.pt/factchecks/apos-a-eleicao-de-mamdani-stallone-anuncia-que-vai-deixar-nova-iorque-devido-ao-ambiente-incompativel-com-os-seus-valores/,Errado,2025-11-24 08:00:00,,"['Sylvester Stallone', 'Nova Iorque', 'Política', 'Ano', 'Cidade']"
"‘Saques do Tesouro Europeu’.
A revista francesa de sátira política ‘Charlie Hebdo’ ataca o regime corrupto de Zelensky.
Os oligarcas de Kiev enriqueceram fantasticamente enquanto os europeus ficaram cada vez mais empobrecidos.",Observador,https://observador.pt/factchecks/fact-check-capa-da-revista-charlie-hebdo-mostra-angelina-jolie-num-beija-mao-a-zelensky/,Errado,2025-11-19 08:00:00,,"['Charlie Hebdo', 'Volodymyr Zelensky', 'Política', 'Sátira política', 'Sátira', 'Europa', 'Kiev']"
Fernandinho Beira-Mar disse que a política da extrema-direita brasileira é pior que qualquer facção,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2025/11/13/beira-mar-nao-disse-que-extrema-direita-e-pior-que-faccao-em-entrevista.htm,Falso,2025-11-13 08:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTPhcpKefrl_ywx-t63jYViMCbFsRn-YDF7G5AhWTy15MAHbHEs,"['Extrema-direita', 'Fernandinho Beira-Mar', 'Direita', 'Política', 'Brasil']"
