Claim,Source Name,Source URL,Verdict,Review Publication Date,Image URL,Tags
"Superior Tribunal Militar disse que Bolsonaro não pode cumprir pena no presídio da Papuda, em Brasília",Aos Fatos,https://www.aosfatos.org/noticias/superior-tribunal-militar-nao-impediu-bolsonaro-de-cumprir-pena-na-papuda/,falso,2025-11-14 08:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTBcgxm1ie6G9RgfQKWaAVXVk75utZXgC1YprD-0XOBYJY2mW8M,"['Jair Bolsonaro', 'Superior Tribunal Militar', 'Complexo Penitenciário da Papuda', 'Sanção penal', 'Penitenciária', 'Brasília']"
Nunes Marques tornou Bolsonaro elegível novamente,Aos Fatos,https://www.aosfatos.org/noticias/nunes-marques-bolsonaro-elegivel/,falso,2026-05-19 16:26:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSFEny-cIwYUbTn8LCeERh4iUUid7vn9hZ9BT1Pn3vjAiquyCym,"['Nunes Marques', 'Jair Bolsonaro']"
Polícia Federal descobre que Moraes prendeu Bolsonaro por dinheiro,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2026/03/09/e-falso-que-pf-descobriu-que-moraes-prendeu-bolsonaro-por-dinheiro.htm,Falso,2026-03-09 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTwqyQdIaYQSRCUCMIs6f7N5rfw9HHsSO8mbBrRAb2oH2lEayNR,"['Jair Bolsonaro', 'Alexandre de Moraes', 'Departamento de Polícia Federal', 'Polícia Federal', 'Polícia']"
"Foi declarada hoje uma nova sanção que pode eleger o capitão em 2026, mas que para isso aconteça ele precisa da sua ajuda. O STF determinou que se a multa de 30 milhões for paga na data prevista, o líder pode concorrer à presidência em 2026.",Observador,https://observador.pt/factchecks/fact-check-bolsonaro-pode-concorrer-as-eleicoes-presidenciais-de-pagar-multa-de-30-milhoes/,Errado,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTAdCTWXjkK3C4HGBdeSodJVXcPYdtk8Hv0Pr7jKseaWXg2fu4y,"['Presidente do Brasil', 'Multa', '2026', 'Supremo Tribunal Federal', 'Liderança', 'Sanção jurídica']"
"""Superior Tribunal Militar diz que Bolsonaro não pode cumprir pena na Papuda. Integrantes da Corte alegam falta de segurança e prerrogativas de ex-presidente. A decisão amplia o impasse entre o STF e os militares e reacende o debate sobre perseguição política""",UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2025/11/18/falso-stm-contra-prisao-bolsonaro-papuda.htm,Falso,2025-11-18 08:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRSTrubPeOLYJpvcMUWo195h9qSNtVOLSxywekN9SiQGeUFsRaQ,"['Jair Bolsonaro', 'Superior Tribunal Militar', 'Complexo Penitenciário da Papuda', 'Presidente', 'Supremo Tribunal Federal', 'Político', 'Sanção penal', 'Tribunal', 'Militar', 'Debate']"
Tribunal Militar nega pedido para cassar patente de Bolsonaro.,Observador,https://observador.pt/factchecks/tribunal-militar-rejeita-pedido-para-cassar-patente-de-ex-presidente-jair-bolsonaro/,Enganador,2026-01-28 08:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTU2olSWEd87chlWuBYcKxDl7194EwMRZl5VBsVWBpmVp0klqF7,"['Jair Bolsonaro', 'Superior Tribunal Militar', 'Cassação de direitos políticos', 'Tribunal', 'Patente']"
PF descobre que Moraes recebeu R$ 30 milhões por mês para prender Bolsonaro,Aos Fatos,https://www.aosfatos.org/noticias/nao-e-verdade-que-moraes-recebeu-propina-para-prender-bolsonaro/,falso,2026-03-10 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRYxceSsWQ1xJGNSPEh1_gMoJckhjKEBugUg-BHRZjXRmEWzNIk,"['Alexandre de Moraes', 'Jair Bolsonaro', 'Polícia Federal', 'Departamento de Polícia Federal', 'Mês']"
PF descobriu que Alexandre de Moraes recebeu dinheiro para condenar Jair Bolsonaro,Estadão,https://www.estadao.com.br/estadao-verifica/e-falso-que-pf-tenha-afirmado-que-moraes-prendeu-bolsonaro-por-dinheiro/,Falso,2026-03-10 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQc0Q2GyMcn2HRIH_zb4fFTdmI3PYBEOcSOBqGwUkPQvYY5ypLY,"['Jair Bolsonaro', 'Alexandre de Moraes', 'Departamento de Polícia Federal', 'Polícia Federal', 'Dinheiro', 'Condenação']"
Ministro do STF Luiz Fux cancelou o julgamento que condenou Jair Bolsonaro a prisão,Aos Fatos,https://www.aosfatos.org/noticias/fux-nao-cancelou-julgamento-que-condenou-bolsonaro-por-tentativa-de-golpe/,falso,2025-09-17 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRB_pyM1uNIfwbc7CurLontcY8vWfSH4QZvTq2kUZYL-Uv5oal2,"['Luiz Fux', 'Jair Bolsonaro', 'Sentença', 'Supremo Tribunal Federal', 'Sentença', 'Ministro do Supremo Tribunal Federal do Brasil', 'Prisão']"
STF não tem tem competência para decidir medidas da execução penal de Jair Bolsonaro,Estadão,https://www.estadao.com.br/estadao-verifica/stf-execucao-penal-jair-bolsonaro/,Falso,2026-01-15 08:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSfoKJTm38FEiTI6Ily1O1NLJmOs6j59KCDYRtynLxYOmNi-H3O,"['Jair Bolsonaro', 'Supremo Tribunal Federal', 'Direito penal']"
PL da Dosimetria anistia Bolsonaro e condenados pelo 8 de Janeiro,Aos Fatos,https://www.aosfatos.org/noticias/pl-da-dosimetria-nao-anistia-bolsonaro-condenados-8-de-janeiro/,falso,2025-12-10 08:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRjZY4OPx63Hej-5bYnt0HRoNMTTPSYnMs9wvo0DE5wfgyNyanL,"['Jair Bolsonaro', 'Partido Liberal', 'Anistia', 'Condenado', 'Dosimetria das radiações ionizantes', 'Ataques de 8 de janeiro em Brasília', 'Janeiro']"
Fux ordena liberdade ao Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.A2V88ZQ,Falso,2026-03-11 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRSNh9mNI3MJcIuizdiy93WslUjlb-NFiiOMzfcpO0AHQ8u_3ol,"['Jair Bolsonaro', 'Luiz Fux']"
STF suspende todas as prisões de Bolsonaro e ele está elegível novamente,Estadão,https://www.estadao.com.br/estadao-verifica/falso-stf-suspendeu-prisao-bolsonaro-elegivel/,Falso,2025-07-30 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSMCrjFqOE4p8K9ZdCAw46WcHFEfaBY_9yVihZw9P3632tR_1xr,"['Jair Bolsonaro', 'Supremo Tribunal Federal', 'Prisão']"
Juiz anula inelegibilidade de Bolsonaro,Aos Fatos,https://www.aosfatos.org/noticias/falso-juiz-anulou-inelegibilidade-jair-bolsonaro/,falso,2023-12-04 08:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRMFRJsmmbbbQYwAhg37wvTNaswOudvopCCOgcZ8WQKDD5DLHQn,"['Jair Bolsonaro', 'Inelegibilidade', 'Juiz', 'Inelegibilidade de Jair Bolsonaro']"
