Texto,Label
"Audiência da Globo chega a 82% com entrevista de Bolsonaro, mas cai para 16%",Fake
Lula pede ao TSE para barrar vídeos na internet durante as eleições,Fake
Alexandre de Moraes admitiu recentemente possibilidade de absolvição de Bolsonaro,Fake
ONGs estão em silêncio em relação ao vazamento de óleo nas praias do Nordeste,Fake
Ex-ministro Flávio Dino defende a liberação de furto no país,Fake
STF suspende julgamento de recurso para garantir revisão da vida toda,True
O conceito de regularidade da inscrição eleitoral (aptidão para o voto) não se confunde com o de quitação eleitoral (eleitor ou eleitora sem débitos).,True
Governo vai inaugurar mais duas Casas da Mulher Brasileira em março,True
Tite fala em entrevista à Globo: ‘Eleitores de Bolsonaro são alienados’,Fake
STF valida lei que garantiu igualdade salarial entre homens e mulheres,True
PL 982/2025 acaba com necessidade de exame de corpo de delito em todos os casos de violência doméstica,Fake
Polícia Federal descobre que Moraes prendeu Bolsonaro por dinheiro,Fake
Foto mostra Jorge Messias chorando após indicação rejeitada ao STF,Fake
Drex será obrigatório e implementado sem aprovação do Congresso,Fake
"É uma montagem a imagem que mostra uma suposta interação online entre o presidente Lula e Javier Milei, recém-eleito na Argentina.",True
Nenhuma casa foi entregue pelo programa Casa Verde e Amarela,Fake
"Na cerimônia, o presidente Lula ressaltou a importância do fortalecimento das agências reguladoras como instrumentos do Estado para assegurar qualidade de serviços, proteção da população e estímulo ao desenvolvimento sustentável.",True
"""Instituto Alemão Gefälschte Nachrichten afirma que houve fraude nas eleições do Brasil.""",Fake
"Essa alma é JIUSEPPE DUTRA JANINO, chefe do setor de T.I do SUP TRIBUNAL ELEITORAL?. Atolado até os cabelos na fraude das urnas?. Vamos deixar ele famoso?! Pediu demissão e hoje é assessor de Luís Roberto Barroso. Só isso",Fake
Reportagem da TV Brasil conquista 2º lugar no Prêmio MOL de Jornalismo,True
"""Auditoria internacional reconheceu que houve fraude nas eleições presidenciais do Brasil de 2022"".",Fake
Vídeo de Nikolas Ferreira sobre o Pix é o mais visto da história do Instagram.,Fake
"Começa a valer hoje o programa do governo em parceria com a renomada empresa brasileira Friboi, que pretende beneficiar mais de 50 mil famílias no mês de dezembro em comemoração do ano novo. Cada família tem o direito de receber em sua casa o kit churrasco para até 15 pessoas por um preço popular. O kit, que originalmente custa R$ 500 vai valer menos de R$ 90. Para se inscrever, é bem simples: basta acessar o site oficial do governo, digital o CPF e, se você estiver elegível, basta pagar essa taxa popular e seu kit churrasco, em parceria com o governo federal, chegará na sua casa na data programada",Fake
Lula defende que luta contra feminicídio deve ser sobretudo dos homens,True
Plano de atentado contra Moraes torna processos do 8/1 nulos,Fake
"No dia da eleição, não há nenhum problema caso a digital não possa ser lida.",True
Senador Marcos do Val recebeu 50 milhões em agradecimento ao apoio à reeleição de Rodrigo Pacheco,Fake
Justiça Eleitoral censura eleitor de Bolsonaro por pintura política,Fake
Governo Lula apresentou projeto de equiparação salarial que já existe desde 1952,Fake
Fátima Bezerra usou R$ 900 milhões de verbas do Governo Federal para pagar a folha,Fake
Donald Trump ligou para Bolsonaro durante ato pró-anistia em SP,Fake
Deputados paranaenses foram feitos reféns durante protesto na Alep,Fake
Urnas podem tirar votos de um candidato para outro,True
"Bolsonaro está filiado ao PL. O 17 refere-se ao antigo PSL, pelo qual ele foi eleito em 2018. O PSL se fundiu ao Democratas, dando origem ao União Brasil.",True
Eduardo Bolsonaro e André Porciuncula Esteves roubaram R$ 600 milhões da Lei Rouanet para abrir empresa nos Estados Unidos,Fake
