Claim,Source Name,Source URL,Verdict,Review Publication Date,Image URL,Tags
Vacinas contra a covid-19 não reduziram o número de óbitos pela doença. Imunidade natural dos infectados foi a responsável pela queda.,Estadão,https://www.estadao.com.br/estadao-verifica/deputado-repete-alegacoes-enganosas-sobre-ineficacia-das-vacinas-contra-covid-19/,Enganoso,2023-05-18 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcR-2EQh1I-Unz4r8GjDe4Jd1t7iJ9c4pDUdJLTfNFj5IZkfkrbZ,"['Vacina', 'Vacina contra COVID-19', 'COVID-19', 'Infecção', 'Imunidade', 'Doença', 'Morte']"
Adivinha quem estava com o presidente miliciano na fatídica marcha para jesus? Ele mesmo! Sargento traficante miliciano do PSL!,Aos Fatos,https://www.aosfatos.org/noticias/homem-em-foto-com-bolsonaro-e-o-deputado-sostenes-nao-militar-flagrado-com-cocaina/,falso,2019-06-28 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQmDmhOQR_eIYxSx1X3DoFLHf4RABw69IlWk9qYMcwKc3CRveBM,"['Presidente', 'Partido Social Liberal', 'Milícia', 'Marcha para Jesus']"
Lula e o PT têm ligação com o tráfico de drogas no Rio de Janeiro e com as FARC,Projeto Comprova,https://projetocomprova.com.br/publica%C3%A7%C3%B5es/deputado-eleito-repete-alegacoes-ja-desmentidas-para-tentar-ligar-lula-a-narcotrafico-e-farc/,Enganoso,2022-10-28 07:00:00,,"['Luiz Inácio Lula da Silva', 'Forças Armadas Revolucionárias da Colômbia', 'Narcotráfico', 'Partido dos Trabalhadores', 'Droga', 'Partido dos Trabalhadores', 'Rio de Janeiro']"
Rui Falcão chamou Nikolas Ferreira de ‘chupetinha’ durante audiência na CCJ,Aos Fatos,https://www.aosfatos.org/noticias/andre-janones-nao-rui-falcao-nikolas-ferreira-chupetinha-ccj/,falso,2023-03-29 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRNzzsG2NQpkNdz6nfR2YLg_EH0vR-a0jKyzbrm8XOpCn83fkoB,"['Nikolas Ferreira', 'Rui Falcão', 'Comissão de Constituição e Justiça e de Cidadania', 'Espectador']"
"Com a permissão e a omissão do governo Lula, o MST deixa mais um estrago em São Paulo.",Projeto Comprova,https://projetocomprova.com.br/publica%C3%A7%C3%B5es/post-de-deputado-engana-ao-associar-ocupacao-em-higienopolis-bairro-nobre-de-sao-paulo-a-boulos-mst-e-lula/,Enganoso,2023-05-19 07:00:00,,"['Movimento dos Trabalhadores Rurais sem Terra', 'Luiz Inácio Lula da Silva', 'São Paulo', 'Estrago', 'Governo Lula', 'Omissão']"
Alexandre de Moraes mandou prender o deputado federal Otoni de Paula,Aos Fatos,https://www.aosfatos.org/noticias/alexandre-de-moraes-nao-mandou-pf-prender-otoni-de-paula/,falso,2022-03-24 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcR8gXgbQeQhCJ2TPt7YWsiRwfjcZfYTeEzZ8nynnw4tr8WAOiMv,"['Otoni de Paula', 'Alexandre de Moraes', 'Deputado', 'Deputado Federal do Brasil']"
PL 4.674/2021 quer proibir sinuca no Brasil por considerar o jogo racista,Aos Fatos,https://www.aosfatos.org/noticias/nao-e-verdade-que-projeto-de-lei-quer-proibir-sinuca-no-brasil-por-considerar-o-jogo-racista/,falso,2022-01-25 08:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTE37vxmTjxIw1O05-oT6NXD7CTdv50n4PTaU8aNgUOi81hq0XS,"['Sinuca', 'Jogo', 'Brasil', 'Racismo', 'Partido Liberal', '2021']"
"Mortes por covid no Grupo Conceição de 01/01 a 03/03: os vacinados com 2 ou 3 doses somam 85,7% dos que morreram",Projeto Comprova,https://projetocomprova.com.br/publica%C3%A7%C3%B5es/em-tuite-para-atacar-vacinas-deputado-ignora-comorbidades-dos-pacientes-e-a-alta-cobertura-vacinal-no-rs/,"ENGANOSO: Dados usados na postagem são limitados, foram usados fora de contexto e as comparações feitas são desproporcionais.",2022-03-17 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSGmRqVicL4aige0nL64f_a_Ll7JJ34vzSsCJmnCt8P0SdGpS39,"['Vacina', 'COVID-19', 'Morte', 'Grupo Hospitalar Conceição', 'Dose']"
Protógenes Queiroz fugiu para a Suíça após descobrir fraudes nas urnas eletrônicas,Aos Fatos,https://www.aosfatos.org/noticias/asilo-politico-de-protogenes-queiroz-na-suica-nao-tem-a-ver-com-acusacao-de-fraude-em-urna/,falso,2021-08-04 07:00:00,,"['Protógenes Queiroz', 'Fraude', 'Urna eletrônica']"
Freixo entrou com ação contra polícia de Goiás por morte de Lázaro Barbosa,Aos Fatos,https://www.aosfatos.org/noticias/freixo-nao-entrou-com-acao-contra-policia-de-goias-por-morte-de-lazaro/,falso,2021-06-30 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRKb66NvylB3WYxE4b4fmC8M70gJS_1zMZ1pyjdB5JOnCyDmpGr,"['Marcelo Freixo', 'Lázaro Barbosa de Sousa', 'Polícia', 'Morte', 'Goiás']"
